n,tempo_req,tempo_resp,diff
0,1498249875.289682,1498249879.688794,4.399111986160278
1,1498249879.688797,1498249883.780861,4.092063903808594
2,1498249883.780864,1498249887.899548,4.1186840534210205
3,1498249887.89955,1498249892.400221,4.500671148300171
4,1498249892.400222,1498249896.585271,4.185048818588257
5,1498249896.585274,1498249901.021971,4.436697006225586
6,1498249901.021973,1498249905.055614,4.03364109992981
7,1498249905.055617,1498249909.60213,4.546512842178345
8,1498249909.602132,1498249913.583575,3.981442928314209
9,1498249913.583577,1498249918.321125,4.737548112869263
10,1498249918.321127,1498249922.362349,4.041222095489502
11,1498249922.362351,1498249927.011904,4.649553060531616
12,1498249927.011907,1498249930.85262,3.840712785720825
13,1498249930.852623,1498249935.180255,4.327631950378418
14,1498249935.180256,1498249939.105303,3.9250471591949463
15,1498249939.105305,1498249943.619281,4.513976097106934
16,1498249943.619284,1498249947.463998,3.8447141647338867
17,1498249947.464,1498249952.157518,4.6935179233551025
18,1498249952.15752,1498249956.216616,4.059095859527588
19,1498249956.21662,1498249960.518211,4.301590919494629
20,1498249960.518213,1498249964.385374,3.8671610355377197
21,1498249964.385376,1498249968.666736,4.281359910964966
22,1498249968.666738,1498249972.523076,3.8563380241394043
23,1498249972.523078,1498249977.029213,4.506134986877441
24,1498249977.029215,1498249980.887822,3.8586068153381348
25,1498249980.887823,1498249985.669353,4.781529903411865
26,1498249985.669359,1498249989.666374,3.9970149993896484
27,1498249989.666377,1498249994.01772,4.3513429164886475
28,1498249994.017721,1498249998.432191,4.414469957351685
29,1498249998.432194,1498250003.840034,5.407840013504028
30,1498250003.840036,1498250007.870268,4.030232191085815
31,1498250007.87027,1498250012.165189,4.294919013977051
32,1498250012.165191,1498250016.589416,4.424225091934204
33,1498250016.589418,1498250021.146196,4.5567779541015625
34,1498250021.146199,1498250025.096425,3.950226068496704
35,1498250025.096427,1498250029.675703,4.579276084899902
36,1498250029.675708,1498250033.964107,4.28839898109436
37,1498250033.96411,1498250038.217714,4.253604173660278
38,1498250038.217717,1498250042.626886,4.40916895866394
39,1498250042.626888,1498250047.222072,4.595183849334717
40,1498250047.222074,1498250051.696181,4.474107027053833
41,1498250051.696183,1498250055.913268,4.217085123062134
42,1498250055.913269,1498250060.338761,4.42549204826355
43,1498250060.338764,1498250064.487426,4.148662090301514
44,1498250064.487428,1498250068.939026,4.451598167419434
45,1498250068.939029,1498250073.020586,4.081557035446167
46,1498250073.020587,1498250077.498675,4.478088140487671
47,1498250077.498678,1498250081.363494,3.8648159503936768
48,1498250081.363496,1498250085.944258,4.580761909484863
49,1498250085.944261,1498250090.047879,4.103617906570435
50,1498250090.047881,1498250094.796204,4.748323202133179
51,1498250094.796205,1498250098.951122,4.154917001724243
52,1498250098.951124,1498250103.540347,4.589223146438599
53,1498250103.540348,1498250107.502438,3.962090015411377
54,1498250107.502441,1498250111.668472,4.166031122207642
55,1498250111.668473,1498250115.406901,3.7384278774261475
56,1498250115.406903,1498250119.684415,4.277512073516846
57,1498250119.684416,1498250123.62016,3.935744047164917
58,1498250123.620163,1498250127.907045,4.286881923675537
59,1498250127.907051,1498250131.77684,3.869788885116577
60,1498250131.776842,1498250136.071099,4.294256925582886
61,1498250136.071101,1498250140.150624,4.079523086547852
62,1498250140.150626,1498250144.710598,4.559972047805786
63,1498250144.7106,1498250148.675403,3.9648032188415527
64,1498250148.675405,1498250153.351801,4.676395893096924
65,1498250153.351804,1498250157.648405,4.296601057052612
66,1498250157.648406,1498250161.669943,4.0215370655059814
67,1498250161.669955,1498250166.147954,4.477998971939087
68,1498250166.147956,1498250170.548198,4.40024209022522
69,1498250170.548201,1498250174.292544,3.744342803955078
70,1498250174.292548,1498250178.799039,4.50649094581604
71,1498250178.79904,1498250183.062624,4.2635838985443115
72,1498250183.062626,1498250187.287314,4.2246880531311035
73,1498250187.287317,1498250191.607308,4.319990873336792
74,1498250191.607311,1498250195.542655,3.9353439807891846
75,1498250195.542658,1498250199.83708,4.294421911239624
76,1498250199.837082,1498250203.889057,4.0519750118255615
77,1498250203.889059,1498250208.181364,4.292304992675781
78,1498250208.181366,1498250212.046549,3.865183115005493
79,1498250212.046551,1498250216.510646,4.464095115661621
80,1498250216.510648,1498250220.837053,4.326405048370361
81,1498250220.837055,1498250225.299844,4.462789058685303
82,1498250225.299847,1498250229.098354,3.7985072135925293
83,1498250229.098355,1498250233.746913,4.648557901382446
84,1498250233.746915,1498250237.763605,4.016690015792847
85,1498250237.763608,1498250242.015823,4.2522149085998535
86,1498250242.015826,1498250246.248746,4.232919931411743
87,1498250246.24875,1498250250.756667,4.5079169273376465
88,1498250250.756671,1498250255.006875,4.250204086303711
89,1498250255.006879,1498250259.287199,4.280319929122925
90,1498250259.287201,1498250263.053709,3.766508102416992
91,1498250263.053711,1498250267.540446,4.486735105514526
92,1498250267.540449,1498250271.471831,3.931382179260254
93,1498250271.471835,1498250275.781464,4.309629201889038
94,1498250275.781468,1498250279.601541,3.820073127746582
95,1498250279.601545,1498250284.095898,4.4943528175354
96,1498250284.095902,1498250288.102875,4.006973028182983
97,1498250288.102879,1498250292.417195,4.314316034317017
98,1498250292.417198,1498250296.544412,4.127213954925537
99,1498250296.544414,1498250300.968748,4.4243340492248535

