n,tempo_req,tempo_resp,diff
0,1498251549.478615,1498251551.165738,1.6871230602264404
1,1498251551.165741,1498251555.573002,4.40726113319397
2,1498251555.573007,1498251559.810415,4.237407922744751
3,1498251559.81042,1498251563.976671,4.166250944137573
4,1498251563.976673,1498251568.128717,4.152044057846069
5,1498251568.128722,1498251572.638836,4.510113954544067
6,1498251572.638841,1498251576.887603,4.248762130737305
7,1498251576.887608,1498251581.123042,4.235434055328369
8,1498251581.123047,1498251585.432723,4.309675931930542
9,1498251585.432729,1498251589.703916,4.27118706703186
10,1498251589.703921,1498251593.730657,4.02673602104187
11,1498251593.730661,1498251597.875516,4.14485502243042
12,1498251597.875522,1498251602.138915,4.26339316368103
13,1498251602.13892,1498251606.176484,4.037564039230347
14,1498251606.176489,1498251610.326517,4.1500279903411865
15,1498251610.326522,1498251614.306149,3.9796268939971924
16,1498251614.306154,1498251618.271688,3.965533971786499
17,1498251618.271694,1498251622.418452,4.146758079528809
18,1498251622.418457,1498251626.448342,4.0298850536346436
19,1498251626.448348,1498251630.907338,4.458989858627319
20,1498251630.907393,1498251635.035566,4.128173112869263
21,1498251635.035571,1498251639.252729,4.21715784072876
22,1498251639.252734,1498251643.359684,4.106950044631958
23,1498251643.35969,1498251647.39483,4.035140037536621
24,1498251647.394835,1498251651.386918,3.9920830726623535
25,1498251651.386923,1498251655.467069,4.080145835876465
26,1498251655.467076,1498251659.382897,3.915820837020874
27,1498251659.382902,1498251663.484041,4.101139068603516
28,1498251663.484047,1498251667.603886,4.1198389530181885
29,1498251667.603892,1498251671.616605,4.0127129554748535
30,1498251671.61661,1498251675.574077,3.9574668407440186
31,1498251675.574082,1498251679.661472,4.087390184402466
32,1498251679.661477,1498251684.324794,4.663316965103149
33,1498251684.324799,1498251688.925532,4.600733041763306
34,1498251688.925537,1498251693.419985,4.494447946548462
35,1498251693.419989,1498251698.755806,5.335816860198975
36,1498251698.755812,1498251702.894379,4.138566970825195
37,1498251702.894384,1498251706.996279,4.101895093917847
38,1498251706.996284,1498251711.266511,4.270226955413818
39,1498251711.266516,1498251715.451441,4.184925079345703
40,1498251715.451447,1498251719.434935,3.983488082885742
41,1498251719.43494,1498251723.707302,4.272361993789673
42,1498251723.707307,1498251727.854293,4.14698600769043
43,1498251727.854298,1498251731.976127,4.12182879447937
44,1498251731.976131,1498251736.032356,4.056225061416626
45,1498251736.032361,1498251740.138234,4.105872869491577
46,1498251740.138239,1498251744.345695,4.207456111907959
47,1498251744.345702,1498251748.611839,4.26613712310791
48,1498251748.611844,1498251752.685978,4.07413387298584
49,1498251752.685983,1498251756.683733,3.9977500438690186
50,1498251756.683738,1498251760.692735,4.008996963500977
51,1498251760.692739,1498251765.488598,4.795859098434448
52,1498251765.488602,1498251769.822735,4.334133148193359
53,1498251769.822739,1498251774.168661,4.345922231674194
54,1498251774.168666,1498251778.080787,3.912121057510376
55,1498251778.080792,1498251782.718528,4.637736082077026
56,1498251782.718532,1498251786.62375,3.9052178859710693
57,1498251786.623755,1498251790.9952,4.371444940567017
58,1498251790.995205,1498251794.860426,3.8652210235595703
59,1498251794.860432,1498251799.267828,4.407396078109741
60,1498251799.267833,1498251803.162049,3.8942160606384277
61,1498251803.162054,1498251807.799701,4.637646913528442
62,1498251807.799706,1498251811.723654,3.923948049545288
63,1498251811.723659,1498251816.214572,4.490912914276123
64,1498251816.214577,1498251820.111623,3.8970460891723633
65,1498251820.111628,1498251824.666715,4.555086851119995
66,1498251824.66672,1498251828.66882,4.002099990844727
67,1498251828.668825,1498251833.027118,4.358293056488037
68,1498251833.027123,1498251836.836806,3.809683084487915
69,1498251836.836811,1498251841.755625,4.918813943862915
70,1498251841.755631,1498251845.66275,3.907119035720825
71,1498251845.662755,1498251850.187851,4.5250959396362305
72,1498251850.187856,1498251853.954757,3.7669010162353516
73,1498251853.954764,1498251858.21639,4.2616260051727295
74,1498251858.216434,1498251862.344733,4.128298997879028
75,1498251862.344738,1498251866.652886,4.30814790725708
76,1498251866.652891,1498251870.58892,3.9360291957855225
77,1498251870.588925,1498251875.182058,4.593133211135864
78,1498251875.182063,1498251879.310386,4.1283228397369385
79,1498251879.310391,1498251884.010968,4.700577020645142
80,1498251884.010972,1498251887.901156,3.890183925628662
81,1498251887.901161,1498251892.376162,4.475001096725464
82,1498251892.376167,1498251896.561196,4.185029029846191
83,1498251896.561202,1498251901.267166,4.705963850021362
84,1498251901.267171,1498251905.342745,4.075574159622192
85,1498251905.34275,1498251909.94854,4.60578989982605
86,1498251909.948545,1498251914.011706,4.063161134719849
87,1498251914.011711,1498251918.454116,4.4424052238464355
88,1498251918.454117,1498251922.719231,4.265113830566406
89,1498251922.719239,1498251926.852724,4.1334850788116455
90,1498251926.852728,1498251931.510484,4.657756090164185
91,1498251931.510489,1498251935.813086,4.3025970458984375
92,1498251935.81309,1498251940.195208,4.382117986679077
93,1498251940.195213,1498251944.215261,4.020047903060913
94,1498251944.215267,1498251948.654304,4.439037084579468
95,1498251948.654309,1498251952.644316,3.990006923675537
96,1498251952.644321,1498251956.925905,4.281584024429321
97,1498251956.925909,1498251960.788607,3.8626978397369385
98,1498251960.788611,1498251965.111059,4.322448015213013
99,1498251965.111064,1498251969.000213,3.8891489505767822

