n,tempo_req,tempo_resp,diff
0,1498232403.746409,1498232404.515852,0.7694430351257324
1,1498232404.515854,1498232405.620316,1.1044621467590332
2,1498232405.620319,1498232406.66747,1.0471510887145996
3,1498232406.667473,1498232407.710641,1.0431678295135498
4,1498232407.710643,1498232408.771626,1.0609829425811768
5,1498232408.771628,1498232409.817898,1.0462701320648193
6,1498232409.8179,1498232410.748191,0.9302911758422852
7,1498232410.748193,1498232411.90433,1.1561369895935059
8,1498232411.904332,1498232412.905799,1.001466989517212
9,1498232412.905802,1498232413.848181,0.9423789978027344
10,1498232413.848184,1498232414.505863,0.6576788425445557
11,1498232414.505865,1498232415.422753,0.9168879985809326
12,1498232415.422755,1498232416.498408,1.075653076171875
13,1498232416.49841,1498232417.538199,1.0397889614105225
14,1498232417.538202,1498232418.464163,0.9259610176086426
15,1498232418.464165,1498232419.428876,0.9647109508514404
16,1498232419.428878,1498232420.38237,0.9534919261932373
17,1498232420.382373,1498232421.449448,1.0670750141143799
18,1498232421.44945,1498232422.547462,1.0980119705200195
19,1498232422.547464,1498232423.808883,1.2614190578460693
20,1498232423.808885,1498232424.559464,0.7505788803100586
21,1498232424.559466,1498232425.67123,1.1117641925811768
22,1498232425.671233,1498232426.611412,0.9401791095733643
23,1498232426.611413,1498232427.682781,1.0713679790496826
24,1498232427.682783,1498232428.747994,1.0652110576629639
25,1498232428.747996,1498232429.904284,1.1562879085540771
26,1498232429.90429,1498232430.98183,1.0775399208068848
27,1498232430.981833,1498232432.098208,1.1163749694824219
28,1498232432.09821,1498232433.17152,1.0733098983764648
29,1498232433.171523,1498232434.366499,1.1949758529663086
30,1498232434.366501,1498232435.090831,0.724329948425293
31,1498232435.090833,1498232435.957551,0.866718053817749
32,1498232435.957553,1498232436.934068,0.9765150547027588
33,1498232436.93407,1498232437.976339,1.042268991470337
34,1498232437.97634,1498232439.017589,1.0412490367889404
35,1498232439.017591,1498232440.053341,1.035749912261963
36,1498232440.053345,1498232440.976582,0.9232370853424072
37,1498232440.976585,1498232441.998442,1.0218570232391357
38,1498232441.998444,1498232443.105368,1.1069238185882568
39,1498232443.105369,1498232444.162381,1.0570118427276611
40,1498232444.162383,1498232444.770812,0.608428955078125
41,1498232444.770814,1498232445.574265,0.8034510612487793
42,1498232445.574266,1498232446.418675,0.8444089889526367
43,1498232446.418677,1498232447.386524,0.9678468704223633
44,1498232447.386526,1498232448.4628,1.0762739181518555
45,1498232448.462802,1498232449.426286,0.9634840488433838
46,1498232449.426288,1498232450.344716,0.9184281826019287
47,1498232450.344719,1498232451.314678,0.969959020614624
48,1498232451.31468,1498232452.405557,1.090876817703247
49,1498232452.405559,1498232453.707257,1.3016979694366455
50,1498232453.70726,1498232454.431489,0.724229097366333
51,1498232454.431492,1498232455.411047,0.9795548915863037
52,1498232455.411049,1498232456.359352,0.94830322265625
53,1498232456.359354,1498232457.29963,0.9402759075164795
54,1498232457.299632,1498232458.326656,1.0270240306854248
55,1498232458.326658,1498232459.324363,0.9977049827575684
56,1498232459.324366,1498232460.335805,1.0114388465881348
57,1498232460.335808,1498232461.324375,0.9885668754577637
58,1498232461.324377,1498232462.378022,1.0536448955535889
59,1498232462.378027,1498232463.401929,1.0239019393920898
60,1498232463.401932,1498232464.065906,0.6639740467071533
61,1498232464.065909,1498232465.004895,0.93898606300354
62,1498232465.004897,1498232465.917842,0.9129447937011719
63,1498232465.917844,1498232466.939322,1.0214779376983643
64,1498232466.939324,1498232467.944742,1.005418062210083
65,1498232467.944744,1498232468.921995,0.9772508144378662
66,1498232468.921996,1498232469.920568,0.9985718727111816
67,1498232469.92057,1498232470.934913,1.014343023300171
68,1498232470.934915,1498232471.958477,1.023561954498291
69,1498232471.958479,1498232473.102933,1.144454002380371
70,1498232473.102935,1498232473.807557,0.7046220302581787
71,1498232473.807561,1498232474.851783,1.044222116470337
72,1498232474.851785,1498232475.908903,1.0571179389953613
73,1498232475.908907,1498232477.018213,1.1093060970306396
74,1498232477.018215,1498232478.115386,1.0971710681915283
75,1498232478.115388,1498232479.196851,1.081463098526001
76,1498232479.196854,1498232480.216318,1.0194637775421143
77,1498232480.21632,1498232481.14675,0.9304299354553223
78,1498232481.146751,1498232482.127538,0.9807870388031006
79,1498232482.12754,1498232483.320071,1.192530870437622
80,1498232483.320074,1498232484.05083,0.7307558059692383
81,1498232484.050832,1498232485.068805,1.0179729461669922
82,1498232485.068807,1498232485.959926,0.8911190032958984
83,1498232485.959928,1498232487.002026,1.042098045349121
84,1498232487.002028,1498232488.108323,1.106295108795166
85,1498232488.108325,1498232489.117319,1.0089941024780273
86,1498232489.117321,1498232490.03088,0.9135589599609375
87,1498232490.030882,1498232490.965204,0.9343221187591553
88,1498232490.965206,1498232492.031592,1.0663859844207764
89,1498232492.031596,1498232493.177206,1.1456100940704346
90,1498232493.177209,1498232493.924152,0.7469429969787598
91,1498232493.924155,1498232494.889848,0.9656929969787598
92,1498232494.889851,1498232495.927311,1.0374598503112793
93,1498232495.927313,1498232496.949231,1.0219178199768066
94,1498232496.949233,1498232497.947025,0.9977920055389404
95,1498232497.947026,1498232498.787111,0.8400850296020508
96,1498232498.787112,1498232499.632739,0.8456270694732666
97,1498232499.632741,1498232500.581768,0.9490270614624023
98,1498232500.58177,1498232501.573718,0.991948127746582
99,1498232501.573721,1498232502.724727,1.1510059833526611
