cd_UGestora;dt_Ano;nu_Licitacao;tp_Licitacao;dt_Homologacao;nu_Propostas;vl_Licitacao;tp_Objeto;dt_MesAno;registroCGE;tp_regimeExecucao
101075;NULL;000022016;8;NULL;NULL;NULL;NULL;032016;NULL;NULL
101076;NULL;000012016;8;NULL;NULL;NULL;NULL;032016;NULL;NULL
101077;NULL;000012016;2;NULL;NULL;NULL;NULL;052016;NULL;NULL
101077;NULL;000012016;8;NULL;NULL;NULL;NULL;042016;NULL;NULL
101077;NULL;000022016;8;NULL;NULL;NULL;NULL;042016;NULL;NULL
101078;NULL;000012016;3;NULL;NULL;NULL;NULL;022016;NULL;NULL
101078;NULL;000012016;8;NULL;NULL;NULL;NULL;012016;NULL;NULL
101078;NULL;000012016;11;NULL;NULL;NULL;NULL;042016;NULL;NULL
101078;2012;000022012;3;2012-01-26 00:00:00;3;13349.3300;1;012012;;5
101078;NULL;000022016;8;NULL;NULL;NULL;NULL;012016;NULL;NULL
101078;NULL;000022016;11;NULL;NULL;NULL;NULL;052016;NULL;NULL
101078;NULL;000032016;8;NULL;NULL;NULL;NULL;012016;NULL;NULL
101078;NULL;000042016;8;NULL;NULL;NULL;NULL;022016;NULL;NULL
101078;2011;000062011;3;2011-09-01 00:00:00;3;52204.3400;1;092011;;5
101079;NULL;000012016;8;NULL;NULL;NULL;NULL;022016;NULL;NULL
101079;NULL;000022016;8;NULL;NULL;NULL;NULL;022016;NULL;NULL
101079;NULL;000032016;8;NULL;NULL;NULL;NULL;022016;NULL;NULL
101079;NULL;000042016;8;NULL;NULL;NULL;NULL;022016;NULL;NULL
101079;NULL;000052016;3;NULL;NULL;NULL;NULL;022016;NULL;NULL
101079;NULL;000062016;3;NULL;NULL;NULL;NULL;032016;NULL;NULL
101080;NULL;000012016;8;NULL;NULL;NULL;NULL;042016;NULL;NULL
101080;NULL;000022016;8;NULL;NULL;NULL;NULL;042016;NULL;NULL
101081;2013;000012013;3;2013-03-01 00:00:00;3;21600.0000;1;032013;;5
101081;NULL;000012016;8;NULL;NULL;NULL;NULL;012016;NULL;NULL
101081;NULL;000022016;2;NULL;NULL;NULL;NULL;032016;NULL;NULL
101081;NULL;000032016;2;NULL;NULL;NULL;NULL;032016;NULL;NULL
101081;NULL;000042016;8;NULL;NULL;NULL;NULL;022016;NULL;NULL
101081;NULL;000052016;2;NULL;NULL;NULL;NULL;042016;NULL;NULL
101082;2010;000012005;8;2005-02-01 00:00:00;1;1500.0000;1;002010;NULL;NULL
101082;NULL;000012016;2;NULL;NULL;NULL;NULL;042016;NULL;NULL
