cd_UGestora,dt_Ano,cd_UnidOrcamentaria,nu_Empenho,nu_Parcela,tp_Lancamento,vl_Pagamento,dt_Pagamento,cd_Conta,nu_ChequePag,nu_DebAut,cd_BancoRec,cd_AgenciaRec,nu_ContaRec,tp_FonteRecursos,dt_MesAno
101110,2010,01001,0000014,0000001,1,6286.2800,2010-01-22 00:00:00,000000000409,901815,,,,,0,012010
101110,2010,01001,0000015,0000001,1,9240.3800,2010-01-22 00:00:00,000000000409,901814,,,,,0,012010
101113,2014,01010,1000294,0000001,1,11563.9600,2014-12-31 00:00:00,000000074780,855249,00000000000,,,,0,122014
101108,2013,00110,0000078,0000001,1,700.0000,2013-04-19 00:00:00,000000237485,0,,,000000,000000000000,0,042013
101108,2013,00110,0000117,0000001,1,700.0000,2013-05-21 00:00:00,000000237485,0,,,000000,000000000000,0,052013
101108,2013,00110,0000123,0000001,1,2000.0000,2013-05-28 00:00:00,000000237485,852240,,,000000,000000000000,0,052013
101108,2013,00110,0000127,0000001,1,2000.0000,2013-06-20 00:00:00,000000237485,852282,,,000000,000000000000,0,062013
101108,2013,00110,0000128,0000001,1,700.0000,2013-06-20 00:00:00,000000237485,0,,,000000,000000000000,0,062013
101108,2013,00110,0000165,0000001,1,2000.0000,2013-07-22 00:00:00,000000237485,852262,,,000000,000000000000,0,072013
101108,2013,00110,0000171,0000001,1,700.0000,2013-07-12 00:00:00,000000237485,0,,,000000,000000000000,0,072013
101108,2013,00110,0000185,0000001,1,700.0000,2013-08-13 00:00:00,000000237485,0,,,000000,000000000000,0,082013
101108,2013,00110,0000190,0000001,1,2000.0000,2013-08-20 00:00:00,000000237485,852308,,,000000,000000000000,0,082013
101108,2013,00110,0000226,0000001,1,700.0000,2013-09-20 00:00:00,000000237485,0,,,000000,000000000000,0,092013
101108,2013,00110,0000228,0000001,1,2000.0000,2013-09-20 00:00:00,000000237485,852315,,,000000,000000000000,0,092013
101108,2013,00110,0000238,0000001,1,700.0000,2013-10-18 00:00:00,000000237485,0,,,000000,000000000000,0,102013
